# csv2chart.y-axis=nanoseconds
argument                                ,           divide
1                                       ,             26.8
2                                       ,             27.9
3                                       ,             28.0
4                                       ,             27.5
5                                       ,             26.5
6                                       ,             27.0
7                                       ,             25.9
8                                       ,             26.4
9                                       ,             26.6
10                                      ,             27.0
11                                      ,             27.6
12                                      ,             27.1
13                                      ,             26.3
14                                      ,             27.2
15                                      ,             26.5
16                                      ,             26.7
17                                      ,             27.3
18                                      ,             27.3
19                                      ,             90.3
20                                      ,            106.2
21                                      ,            121.7
22                                      ,            119.0
23                                      ,            122.0
24                                      ,            109.4
25                                      ,            103.6
26                                      ,            108.8
27                                      ,            119.0
28                                      ,            115.6
29                                      ,            135.0
30                                      ,            123.9
31                                      ,            113.8
32                                      ,            121.1
33                                      ,            137.3
34                                      ,            131.4
35                                      ,            127.6
36                                      ,            121.6
37                                      ,            121.5
38                                      ,            121.2
39                                      ,            144.3
40                                      ,            152.2
41                                      ,            152.7
42                                      ,            131.5
43                                      ,            139.4
44                                      ,            136.6
45                                      ,            151.2
46                                      ,            146.7
47                                      ,            153.7
48                                      ,            133.2
49                                      ,            150.3
50                                      ,            149.0
51                                      ,            165.8
52                                      ,            157.0
53                                      ,            158.9
54                                      ,            148.8
55                                      ,            153.6
56                                      ,            144.3
57                                      ,            165.9
58                                      ,            177.4
59                                      ,            176.2
60                                      ,            162.3
61                                      ,            154.2
62                                      ,            162.3
63                                      ,            173.4
64                                      ,            175.9
65                                      ,            182.2
66                                      ,            161.0
67                                      ,            161.4
68                                      ,            180.9
69                                      ,            193.9
70                                      ,            188.0
71                                      ,            190.4
72                                      ,            178.7
73                                      ,            178.8
74                                      ,            175.4
75                                      ,            191.1
76                                      ,            188.5
77                                      ,            199.6
78                                      ,            191.1
79                                      ,            186.7
80                                      ,            187.7
81                                      ,            199.7
82                                      ,            201.8
83                                      ,            205.2
84                                      ,            195.8
85                                      ,            196.8
86                                      ,            222.9
87                                      ,            249.0
88                                      ,            262.8
89                                      ,            223.7
90                                      ,            197.4
91                                      ,            197.4
92                                      ,            214.7
93                                      ,            238.9
94                                      ,            243.1
95                                      ,            229.8
96                                      ,            208.6
97                                      ,            226.5
98                                      ,            217.5
99                                      ,            239.2
100                                     ,            244.6
101                                     ,            258.0
102                                     ,            222.9
103                                     ,            221.1
104                                     ,            227.9
105                                     ,            253.6
106                                     ,            289.0
107                                     ,            253.5
108                                     ,            229.6
109                                     ,            261.6
110                                     ,            289.8
111                                     ,            263.2
112                                     ,            283.5
113                                     ,            318.7
114                                     ,            266.7
115                                     ,            276.2
116                                     ,            274.5
117                                     ,            310.5
118                                     ,            256.4
119                                     ,            261.1
120                                     ,            235.2
121                                     ,            241.6
122                                     ,            265.8
123                                     ,            280.3
124                                     ,            262.7
125                                     ,            261.6
126                                     ,            258.9
127                                     ,            262.3
128                                     ,            261.7
129                                     ,            278.8
130                                     ,            300.9
131                                     ,            270.5
132                                     ,            257.5
133                                     ,            257.5
134                                     ,            261.9
135                                     ,            286.9
136                                     ,            299.7
137                                     ,            279.6
138                                     ,            277.5
139                                     ,            284.1
140                                     ,            265.9
141                                     ,            294.2
142                                     ,            289.5
143                                     ,            285.3
144                                     ,            272.0
145                                     ,            289.4
146                                     ,            287.2
147                                     ,            305.9
148                                     ,            296.0
149                                     ,            294.0
150                                     ,            290.5
151                                     ,            288.0
152                                     ,            290.1
153                                     ,            301.6
154                                     ,            295.1
155                                     ,            333.9
156                                     ,            320.5
157                                     ,            323.4
158                                     ,            338.4
159                                     ,            379.9
160                                     ,            370.3
161                                     ,            374.3
162                                     ,            339.3
163                                     ,            307.7
164                                     ,            315.6
165                                     ,            327.7
166                                     ,            345.6
167                                     ,            336.8
168                                     ,            328.1
169                                     ,            322.6
170                                     ,            319.8
171                                     ,            336.1
172                                     ,            342.6
173                                     ,            347.5
174                                     ,            324.4
175                                     ,            328.7
176                                     ,            337.0
177                                     ,            364.3
178                                     ,            360.9
179                                     ,            354.0
180                                     ,            347.0
181                                     ,            337.4
182                                     ,            328.9
183                                     ,            359.9
184                                     ,            364.0
185                                     ,            362.5
186                                     ,            351.1
187                                     ,            348.0
188                                     ,            352.2
189                                     ,            397.4
190                                     ,            387.4
191                                     ,            375.7
192                                     ,            357.0
193                                     ,            363.6
194                                     ,            374.3
195                                     ,            392.6
196                                     ,            384.0
197                                     ,            371.8
198                                     ,            362.5
199                                     ,            351.5
200                                     ,            373.7
201                                     ,            376.8
202                                     ,            393.0
203                                     ,            411.7
204                                     ,            381.4
205                                     ,            384.5
206                                     ,            388.8
207                                     ,            375.2
208                                     ,            398.9
209                                     ,            409.0
210                                     ,            378.2
211                                     ,            394.8
212                                     ,            393.3
213                                     ,            414.4
214                                     ,            402.1
215                                     ,            402.6
216                                     ,            389.6
217                                     ,            402.8
218                                     ,            402.9
219                                     ,            410.4
220                                     ,            398.5
221                                     ,            393.4
222                                     ,            405.7
223                                     ,            410.9
224                                     ,            405.8
225                                     ,            427.4
226                                     ,            429.3
227                                     ,            413.2
228                                     ,            395.7
229                                     ,            392.8
230                                     ,            415.0
231                                     ,            429.4
232                                     ,            428.4
233                                     ,            427.0
234                                     ,            431.3
235                                     ,            422.1
236                                     ,            407.7
237                                     ,            441.2
238                                     ,            434.2
239                                     ,            424.4
240                                     ,            425.3
241                                     ,            446.0
242                                     ,            428.0
243                                     ,            461.3
244                                     ,            446.8
245                                     ,            449.6
246                                     ,            471.6
247                                     ,            486.3
248                                     ,            475.1
249                                     ,            507.0
250                                     ,            501.7
251                                     ,            514.8
252                                     ,            448.9
253                                     ,            442.4
254                                     ,            453.7
255                                     ,            470.6
256                                     ,            476.0
257                                     ,            472.1
258                                     ,            445.7
259                                     ,            475.8
260                                     ,            463.6
261                                     ,            467.5
262                                     ,            497.2
263                                     ,            482.2
264                                     ,            482.0
265                                     ,            469.2
266                                     ,            479.4
267                                     ,            509.2
268                                     ,            502.5
269                                     ,            492.5
270                                     ,            477.7
271                                     ,            499.8
272                                     ,            501.1
273                                     ,            500.3
274                                     ,            496.2
275                                     ,            512.0
276                                     ,            488.4
277                                     ,            499.4
278                                     ,            498.9
279                                     ,            485.9
280                                     ,            508.1
281                                     ,            522.8
282                                     ,            483.2
283                                     ,            492.0
284                                     ,            494.8
285                                     ,            535.2
286                                     ,            511.4
287                                     ,            505.3
288                                     ,            488.3
289                                     ,            510.3
290                                     ,            513.5
291                                     ,            532.1
292                                     ,            547.0
293                                     ,            533.2
294                                     ,            514.0
295                                     ,            509.0
296                                     ,            533.2
297                                     ,            550.0
298                                     ,            547.6
299                                     ,            548.9
300                                     ,            543.5
301                                     ,            551.7
302                                     ,            555.7
303                                     ,            557.9
304                                     ,           1089.0
305                                     ,           1693.5
306                                     ,           1555.7
307                                     ,           1442.4
308                                     ,           1506.3
309                                     ,           1631.9
310                                     ,           1616.5
311                                     ,           1645.2
312                                     ,           1756.4
313                                     ,           1652.5
314                                     ,           1767.2
315                                     ,           1729.1
316                                     ,           1765.8
317                                     ,           1827.7
318                                     ,           1740.0
319                                     ,           1856.8
320                                     ,           1620.4
321                                     ,           1621.8
322                                     ,           1649.5
323                                     ,           1678.8
324                                     ,           1647.2
325                                     ,           1635.3
326                                     ,           1756.1
327                                     ,           1632.0
328                                     ,           1737.1
329                                     ,           1612.0
330                                     ,           1714.5
331                                     ,           1713.6
332                                     ,           1672.4
333                                     ,           1659.6
334                                     ,           1673.2
335                                     ,           1800.8
336                                     ,           1665.1
337                                     ,           1666.7
338                                     ,           1672.9
339                                     ,           1727.3
340                                     ,           1681.0
341                                     ,           1705.1
342                                     ,           1897.7
343                                     ,           1692.1
344                                     ,           1695.5
345                                     ,           1728.9
346                                     ,           1795.1
347                                     ,           1824.9
348                                     ,           1721.2
349                                     ,           1733.2
350                                     ,           1746.0
351                                     ,           1770.8
352                                     ,           1729.0
353                                     ,           1633.0
354                                     ,           1622.7
355                                     ,           1736.2
356                                     ,           1776.0
357                                     ,           1804.0
358                                     ,           1740.8
359                                     ,           1832.1
360                                     ,           1749.0
361                                     ,           1680.2
362                                     ,           1836.6
363                                     ,           1688.2
364                                     ,           1756.7
365                                     ,           1746.4
366                                     ,           1815.3
367                                     ,           2115.2
368                                     ,           1786.8
369                                     ,           1911.8
370                                     ,           1752.6
371                                     ,           1971.4
372                                     ,           1880.7
373                                     ,           1779.2
374                                     ,           1738.8
375                                     ,           1883.4
376                                     ,           1918.0
377                                     ,           1890.7
378                                     ,           1905.9
379                                     ,           1849.7
380                                     ,           1815.3
381                                     ,           1986.8
382                                     ,           1888.9
383                                     ,           1932.8
384                                     ,           1794.2
385                                     ,           1656.8
386                                     ,           1671.5
387                                     ,           1699.1
388                                     ,           1710.2
389                                     ,           1778.9
390                                     ,           1777.4
391                                     ,           1794.9
392                                     ,           1799.2
393                                     ,           1677.9
394                                     ,           1779.0
395                                     ,           1917.9
396                                     ,           1786.1
397                                     ,           1798.5
398                                     ,           1884.8
399                                     ,           1799.9
400                                     ,           1808.7
401                                     ,           1648.0
402                                     ,           1804.4
403                                     ,           1775.1
404                                     ,           1841.1
405                                     ,           1974.8
406                                     ,           1764.0
407                                     ,           2017.9
408                                     ,           1910.5
409                                     ,           1985.5
410                                     ,           1891.4
411                                     ,           2062.6
412                                     ,           1988.0
413                                     ,           1937.4
414                                     ,           1927.8
415                                     ,           2098.4
416                                     ,           1861.9
417                                     ,           1801.4
418                                     ,           2020.5
419                                     ,           1989.1
420                                     ,           1910.8
421                                     ,           1861.0
422                                     ,           1911.3
423                                     ,           1937.5
424                                     ,           2175.2
425                                     ,           2111.5
426                                     ,           2008.3
427                                     ,           1970.6
428                                     ,           2008.6
429                                     ,           2023.1
430                                     ,           2004.5
431                                     ,           2114.0
432                                     ,           1921.5
433                                     ,           1897.5
434                                     ,           1986.7
435                                     ,           1988.4
436                                     ,           2019.7
437                                     ,           1978.6
438                                     ,           2036.3
439                                     ,           2048.2
440                                     ,           2059.1
441                                     ,           2141.6
442                                     ,           2118.1
443                                     ,           2027.0
444                                     ,           2056.2
445                                     ,           2051.5
446                                     ,           2081.0
447                                     ,           2243.9
448                                     ,           2006.6
449                                     ,           1954.9
450                                     ,           2006.6
451                                     ,           1988.4
452                                     ,           2040.4
453                                     ,           2090.6
454                                     ,           2147.1
455                                     ,           2097.0
456                                     ,           1998.3
457                                     ,           1989.1
458                                     ,           2098.5
459                                     ,           2146.6
460                                     ,           2236.3
461                                     ,           2079.9
462                                     ,           2057.7
463                                     ,           2138.2
464                                     ,           2126.1
465                                     ,           2080.5
466                                     ,           2020.0
467                                     ,           2104.8
468                                     ,           2221.1
469                                     ,           2257.1
470                                     ,           2154.0
471                                     ,           2165.3
472                                     ,           2181.0
473                                     ,           2175.2
474                                     ,           2125.1
475                                     ,           2229.0
476                                     ,           2140.2
477                                     ,           2302.8
478                                     ,           2288.0
479                                     ,           2363.6
480                                     ,           2230.4
481                                     ,           2021.3
482                                     ,           2251.0
483                                     ,           2154.1
484                                     ,           2223.4
485                                     ,           2253.6
486                                     ,           2257.0
487                                     ,           2157.2
488                                     ,           2210.7
489                                     ,           2246.8
490                                     ,           2292.8
491                                     ,           2354.1
492                                     ,           2301.3
493                                     ,           2143.5
494                                     ,           2271.4
495                                     ,           2361.2
496                                     ,           2341.9
497                                     ,           2314.8
498                                     ,           2118.2
499                                     ,           2348.6
500                                     ,           2353.1
501                                     ,           2452.7
502                                     ,           2478.1
503                                     ,           2389.0
504                                     ,           2382.9
505                                     ,           2465.9
506                                     ,           2499.1
507                                     ,           2443.6
508                                     ,           2588.3
509                                     ,           2549.4
510                                     ,           2520.4
511                                     ,           2498.0
512                                     ,           2217.1
513                                     ,           2023.5
514                                     ,           1977.0
515                                     ,           2111.2
516                                     ,           2014.0
517                                     ,           2168.0
518                                     ,           1957.1
519                                     ,           2106.4
520                                     ,           2076.3
521                                     ,           2125.7
522                                     ,           2063.6
523                                     ,           2049.2
524                                     ,           2087.5
525                                     ,           2146.6
526                                     ,           2138.7
527                                     ,           2206.5
528                                     ,           2181.0
529                                     ,           2099.5
530                                     ,           2223.7
531                                     ,           2204.7
532                                     ,           2256.9
533                                     ,           2132.4
534                                     ,           2180.2
535                                     ,           2213.0
536                                     ,           2239.6
537                                     ,           2118.5
538                                     ,           2301.5
539                                     ,           2308.9
540                                     ,           2289.9
541                                     ,           2257.0
542                                     ,           2407.9
543                                     ,           2344.2
544                                     ,           2267.0
545                                     ,           2108.5
546                                     ,           2175.1
547                                     ,           2288.6
548                                     ,           2312.8
549                                     ,           2291.8
550                                     ,           2362.5
551                                     ,           2323.6
552                                     ,           2380.1
553                                     ,           2220.3
554                                     ,           2217.1
555                                     ,           2220.9
556                                     ,           2364.4
557                                     ,           2367.5
558                                     ,           2286.4
559                                     ,           2496.0
560                                     ,           2476.6
561                                     ,           2352.8
562                                     ,           2483.1
563                                     ,           2538.1
564                                     ,           2381.3
565                                     ,           2319.3
566                                     ,           2408.4
567                                     ,           2557.7
568                                     ,           2351.2
569                                     ,           2499.9
570                                     ,           2535.5
571                                     ,           2483.7
572                                     ,           2410.4
573                                     ,           2857.4
574                                     ,           2476.2
575                                     ,           2493.1
576                                     ,           2409.3
577                                     ,           2287.4
578                                     ,           2355.4
579                                     ,           2259.3
580                                     ,           2436.4
581                                     ,           2382.5
582                                     ,           2426.2
583                                     ,           2363.1
584                                     ,           2384.1
585                                     ,           2349.2
586                                     ,           2399.2
587                                     ,           2366.7
588                                     ,           2373.8
589                                     ,           2388.2
590                                     ,           2472.0
591                                     ,           2544.5
592                                     ,           2525.3
593                                     ,           2463.5
594                                     ,           2382.5
595                                     ,           2569.7
596                                     ,           2581.5
597                                     ,           2532.0
598                                     ,           2544.1
599                                     ,           2556.0
600                                     ,           2631.6
601                                     ,           2606.7
602                                     ,           2532.7
603                                     ,           2734.7
604                                     ,           2594.5
605                                     ,           2600.5
606                                     ,           2601.8
607                                     ,           2618.9
608                                     ,           2538.9
609                                     ,           2300.1
610                                     ,           2389.0
611                                     ,           2409.7
612                                     ,           2551.3
613                                     ,           2508.1
614                                     ,           2522.0
615                                     ,           2616.1
616                                     ,           2593.3
617                                     ,           2556.2
618                                     ,           2524.1
619                                     ,           2600.3
620                                     ,           2683.7
621                                     ,           2577.6
622                                     ,           2489.4
623                                     ,           2693.7
624                                     ,           2836.6
625                                     ,           2677.5
626                                     ,           2730.1
627                                     ,           2815.3
628                                     ,           2767.6
629                                     ,           2610.4
630                                     ,           2742.4
631                                     ,           2827.6
632                                     ,           2736.5
633                                     ,           2670.1
634                                     ,           2830.4
635                                     ,           2756.5
636                                     ,           2794.4
637                                     ,           2746.6
638                                     ,           2797.0
639                                     ,           2934.2
640                                     ,           2703.7
641                                     ,           2432.1
642                                     ,           2511.9
643                                     ,           2625.9
644                                     ,           2677.8
645                                     ,           2561.5
646                                     ,           2633.1
647                                     ,           2560.6
648                                     ,           2641.5
649                                     ,           2617.7
650                                     ,           2695.3
651                                     ,           2669.0
652                                     ,           2657.8
653                                     ,           2672.2
654                                     ,           2800.7
655                                     ,           2709.7
656                                     ,           2804.2
657                                     ,           2559.7
658                                     ,           2797.0
659                                     ,           2867.1
660                                     ,           2740.3
661                                     ,           2744.6
662                                     ,           2845.1
663                                     ,           2764.9
664                                     ,           2797.5
665                                     ,           2668.4
666                                     ,           2704.4
667                                     ,           2747.5
668                                     ,           2770.4
669                                     ,           2856.3
670                                     ,           2789.9
671                                     ,           2775.8
672                                     ,           2564.7
673                                     ,           2623.7
674                                     ,           2779.9
675                                     ,           2806.6
676                                     ,           2807.9
677                                     ,           2710.6
678                                     ,           2741.0
679                                     ,           2835.3
680                                     ,           2873.8
681                                     ,           2898.1
