# csv2chart.y-axis=microseconds
argument                                ,            sleep,             busy
0                                       ,              0.6,              0.1
1                                       ,           1444.5,           1000.1
2                                       ,           2425.8,           2000.0
3                                       ,           3392.1,           3000.1
4                                       ,           4373.7,           4000.1
5                                       ,           5244.9,           5000.0
6                                       ,           6230.0,           6000.0
7                                       ,           7220.5,           7000.0
8                                       ,           8425.5,           8000.0
9                                       ,           9311.9,           9000.1
10                                      ,          17222.9,          10000.3
11                                      ,          11621.4,          11000.3
12                                      ,          12894.0,          12000.3
13                                      ,          13437.5,          13000.5
14                                      ,          14768.8,          14005.8
15                                      ,          15654.6,          15000.4
16                                      ,          16796.4,          16000.5
17                                      ,          17810.2,          17000.4
18                                      ,          18753.8,          18000.3
19                                      ,          19656.7,          19000.4
20                                      ,          30766.6,          20000.5
21                                      ,          21838.2,          21000.3
22                                      ,          22833.6,          22000.3
23                                      ,          23689.8,          23000.8
24                                      ,          24776.5,          24000.4
25                                      ,          25209.3,          25000.6
26                                      ,          26607.0,          26003.4
27                                      ,          27423.0,          27000.4
28                                      ,          28824.2,          28000.4
29                                      ,          29808.6,          29000.4
30                                      ,          35377.3,          30001.5
31                                      ,          31403.8,          31000.3
32                                      ,          32878.8,          32000.3
33                                      ,          33567.9,          33000.8
34                                      ,          34801.0,          34000.3
35                                      ,          36319.3,          35000.4
36                                      ,          36421.3,          36000.4
37                                      ,          37423.3,          37000.3
38                                      ,          38662.9,          38000.3
39                                      ,          40180.1,          39000.2
40                                      ,          49213.8,          40000.4
41                                      ,          41904.5,          41000.4
42                                      ,          42920.1,          42000.5
43                                      ,          43456.3,          43000.4
44                                      ,          44387.2,          44000.3
45                                      ,          45780.9,          45000.4
46                                      ,          46844.1,          46007.0
47                                      ,          49555.6,          47000.5
48                                      ,          49024.9,          48000.8
49                                      ,          49100.3,          49000.4
50                                      ,          67524.1,          50000.1
51                                      ,          51651.4,          51000.2
52                                      ,          52223.6,          52000.2
53                                      ,          53843.3,          53000.0
54                                      ,          55152.9,          54000.1
55                                      ,          55256.4,          55000.1
56                                      ,          56500.0,          56000.1
57                                      ,          57979.7,          57007.7
58                                      ,          58721.0,          58000.2
59                                      ,          59741.2,          59000.1
60                                      ,          61735.7,          60000.1
61                                      ,          61296.2,          61000.1
62                                      ,          62646.6,          62000.1
63                                      ,          63395.5,          63000.0
64                                      ,          64705.7,          64000.2
65                                      ,          65502.2,          65000.0
66                                      ,          66448.2,          66000.0
67                                      ,          67499.9,          67000.2
68                                      ,          68874.9,          68000.0
69                                      ,          69984.7,          69000.1
70                                      ,          83510.6,          70000.1
71                                      ,          72116.0,          71000.1
72                                      ,          72349.8,          72000.1
73                                      ,          73611.1,          73000.2
74                                      ,          74765.3,          74000.0
75                                      ,          76205.4,          75000.0
76                                      ,          76385.6,          76000.0
77                                      ,          77846.0,          77009.3
78                                      ,          78102.6,          78000.1
79                                      ,          79116.1,          79000.1
80                                      ,          94324.8,          80000.0
81                                      ,          81873.9,          81000.1
82                                      ,          82708.2,          82000.0
83                                      ,          84084.2,          83000.2
84                                      ,          84942.0,          84000.0
85                                      ,          85412.0,          85000.0
86                                      ,          86286.9,          86000.1
87                                      ,          86851.3,          87000.2
88                                      ,          88124.0,          88000.1
89                                      ,          89753.9,          89000.7
90                                      ,         104547.8,          90000.2
91                                      ,          91594.0,          91000.1
92                                      ,          93184.4,          92000.0
93                                      ,          93137.7,          93000.2
94                                      ,          94110.6,          94000.1
95                                      ,          95751.2,          95000.2
96                                      ,          97055.3,          96000.1
97                                      ,          97532.5,          97000.2
98                                      ,          98124.3,          98000.0
99                                      ,         100058.5,          99000.0
